Date,JP_LCEMD,JP_EMD,SH_LCEMD,SH_EMD,B_LCEMD,B_EMD
30/04/1999,,5.8300,,,,5.4101
31/05/1999,,-7.3200,,,,-4.8063
30/06/1999,,2.7900,,,,2.9027
31/07/1999,,-1.5100,,,,-1.4122
31/08/1999,,0.5400,,,,-0.3181
30/09/1999,,3.7800,,,,2.9192
31/10/1999,,4.5900,,,,3.2142
30/11/1999,,3.3200,,,,2.3864
31/12/1999,,7.2700,,,,3.3896
31/01/2000,,0.4200,,,,-1.1547
29/02/2000,,6.1800,,,,4.3613
31/03/2000,,4.1900,,,,1.9277
30/04/2000,,-1.4100,,,,-1.9222
31/05/2000,,-3.5400,,,,-2.2124
30/06/2000,,6.0700,,,,4.4546
31/07/2000,,2.3800,,,,2.9246
31/08/2000,,2.7400,,,,3.1611
30/09/2000,,-2.9400,,,,-1.0928
31/10/2000,,-3.1700,,,,-1.7906
30/11/2000,,-2.1100,,,,-0.3227
31/12/2000,,4.4400,,,,4.0563
31/01/2001,,7.8000,,,,4.4793
28/02/2001,,-0.7300,,,,-0.7597
31/03/2001,,-2.3400,,,,-0.3700
30/04/2001,,-1.1300,,,,-0.1841
31/05/2001,,3.4400,,,,2.6673
30/06/2001,,2.5000,,,,1.8801
31/07/2001,,-3.6000,,,,-2.8042
31/08/2001,,3.0100,,,,3.8256
30/09/2001,,-2.4100,,,,-2.5068
31/10/2001,,3.7500,,,,1.6571
30/11/2001,,3.8800,,,,0.7041
31/12/2001,,3.6100,,,,0.9885
31/01/2002,,2.1500,,,,1.7021
28/02/2002,,3.3400,,,,3.1253
31/03/2002,,0.7700,,,,0.1178
30/04/2002,,0.7800,,,,1.3124
31/05/2002,,-0.4600,,,,-0.2103
30/06/2002,,-5.0100,,,,-3.5782
31/07/2002,,-3.7800,,,,-3.1827
31/08/2002,,5.7800,,,,5.5828
30/09/2002,,-2.7000,,,,-1.3090
31/10/2002,,5.7200,,,,4.5603
30/11/2002,,3.1700,,,,2.6961
31/12/2002,,3.6700,,,,2.4945
31/01/2003,,1.4900,,,1.2484,1.3065
28/02/2003,,3.8800,,,0.8754,2.5030
31/03/2003,,2.6700,,,1.0724,0.8652
30/04/2003,,6.4100,,,5.1877,5.3034
31/05/2003,,4.0100,,,2.8447,3.9857
30/06/2003,,-0.4300,,,-0.3360,0.0696
31/07/2003,,-3.1300,,,-1.7287,-3.1368
31/08/2003,,1.9200,,,-0.5094,2.1045
30/09/2003,,3.2200,,,3.9717,3.4094
31/10/2003,,0.9800,,,-0.8308,0.2832
30/11/2003,,1.6100,,,0.9970,1.0077
31/12/2003,,3.4400,,,3.1765,2.7858
31/01/2004,,0.4200,,,-0.2776,0.5848
29/02/2004,,-0.1600,,,2.1603,0.5667
31/03/2004,,2.5000,,,1.9177,2.5782
30/04/2004,,-5.8500,,,-3.4162,-4.9592
